lactose	hydrolyze to	galactose
lactose	convert into	galactose
galactose	derive from	lactose
galactose	obtain from	lactose
lactose	compose of	galactose
galactose	form from	lactose
lactose	yield	galactose
lactose	substitute for	glucose
lactose	metabolize to	glucose
lactose	synthesize from	glucose
lactose	represent	glucose
lactose	split into	glucose
lactose	break to	glucose
lactose	form from	glucose
lactose	convert to	glucose
lactose	convert into	glucose
lactose	contain	glucose
lactose	distinguish from	glucose
lactose	give	glucose
lactose	compose of	glucose
lactose	make of	glucose
lactose	derive from	glucose
glucose	substitute for	lactose
lactose	consist of	glucose
lactose	break into	glucose
lactose	hydrolyze to	glucose
lactose	change to	glucose
lactose	yield	glucose
lactose	obtain from	milk
lactose	hydrolyze	milk
lactose	add to	milk
milk	owe to	lactose
milk	have	lactose
lactose	exist in	milk
milk	be in	lactose
lactose	find in	milk
lactose	occur in	milk
lactose	be in	milk
milk	provide	lactose
milk	contain	lactose
lactose	break by	bacteria
bacteria	hydrolyze	lactose
lactose	convert by	bacteria
lactose	act by	bacteria
bacteria	ferment	lactose
bacteria	metabolize	lactose
bacteria	break	lactose
lactose	change by	bacteria
bacteria	decompose	lactose
bacteria	convert	lactose
bacteria	change	lactose
bacteria	use	lactose
bacteria	produce from	lactose
bacteria	digest	lactose
lactose	metabolize by	bacteria
lactose	digest by	lactase
lactase	split	lactose
lactose	break by	lactase
lactase	digest	lactose
lactose	hydrolyze by	lactase
lactase	act on	lactose
lactose	split by	lactase
lactase	break	lactose
lactase	convert	lactose
lactase	hydrolyze	lactose
lactose	convert by	lactase
lactase	change	lactose
lactose	appear in	urine
lactose	excrete in	urine
lactose	detect in	urine
urine	contain	lactose
lactose	occur in	urine
lactose	obtain from	urine
lactose	reappear in	urine
lactose	find in	urine
lactose	hydrolyze by	enzyme
enzyme	hydrolyze	lactose
enzyme	split	lactose
enzyme	digest	lactose
enzyme	cleave	lactose
lactose	cleave by	enzyme
enzyme	break	lactose
enzyme	convert	lactose
organism	convert	lactose
organism	ferment	lactose
organism	produce from	lactose
organism	find	lactose
lactose	decompose by	organism
organism	utilize	lactose
lactose	break in	intestine
lactose	draw into	intestine
lactose	pass through	intestine
lactose	pass into	intestine
lactose	accumulate in	intestine
lactose	remain in	intestine
lactose	disappear from	intestine
lactose	hydrolyze in	intestine
lactose	yield	dextrose
lactose	split into	dextrose
lactose	replace by	dextrose
lactose	prepare from	whey
lactose	remain in	whey
lactose	recover from	whey
lactose	make from	whey
lactose	manufacture from	whey
lactose	obtain from	whey
whey	contain	lactose
lactose	use as	carbohydrate
carbohydrate	represent by	lactose
carbohydrate	occur as	lactose
lactose	constitute	carbohydrate
lactose	cleave by	galactosidase
galactosidase	cleave	lactose
galactosidase	hydrolyze	lactose
lactose	hydrolyze by	galactosidase
lactose	hydrolyze to	monosaccharide
lactose	split into	monosaccharide
lactose	pass into	colon
lactose	reach	colon
cheese	contain	lactose
cheese	be in	lactose
lactose	absorb into	blood
yogurt	have	lactose
yogurt	contain	lactose
maltose	substitute for	lactose
lactose	cause	diarrhea
lactose	pass into	bowel
cream	contain	lactose
